"","workerData","model","softness","obedience","type","cross_validated","Nr"
"318",0.28,0,"0","0","iterative","no",1
"319",0.16667,0,"0","0","iterative","no",1
"320",0.27586,0,"0","0","iterative","no",1
"321",0.40741,0.5,"0","0","iterative","no",1
"322",0.07143,0,"0","0","iterative","no",1
"323",0.38462,0.66667,"0","0","iterative","no",1
"324",0.42105,0.66667,"0","0","iterative","no",1
"325",0.31034,0,"0","0","iterative","no",1
"326",0.5,1,"0","0","iterative","no",1
"327",0.66667,1,"0","0","iterative","no",1
"328",0,0,"0","0","iterative","no",1
"329",0.36667,0,"0","0","iterative","no",1
"330",0.42308,0,"0","0","iterative","no",1
"331",0.68966,1,"0","0","iterative","no",1
"332",0.12121,0,"0","0","iterative","no",1
"333",1,1,"0","0","iterative","no",1
"334",0.68966,1,"0","0","iterative","no",1
"335",0,0,"0","0","iterative","no",1
"336",0.31034,0,"0","0","iterative","no",1
"337",0.74074,0.66667,"0","0","iterative","no",1
"338",0.28571,1,"0","0","iterative","no",1
"339",0.3,0.2,"0","0","iterative","no",1
"340",0,0,"0","0","iterative","no",1
"341",0.05,0.33333,"0","0","iterative","no",1
"342",0.11111,0.33333,"0","0","iterative","no",1
"343",0.32,0.33333,"0","0","iterative","no",1
"344",0.35088,0.33333,"0","0","iterative","no",1
"345",0.94444,1,"0","0","iterative","no",1
"346",0.04545,0.33333,"0","0","iterative","no",1
"347",0.4,0.66667,"0","0","iterative","no",1
"348",0.33333,0.2,"0","0","iterative","no",1
"349",0,0,"0","0","iterative","no",1
"350",0.04348,0,"0","0","iterative","no",1
"351",0.08696,0,"0","0","iterative","no",1
"352",0.09091,0.2,"0","0","iterative","no",1
"353",0,0,"0","0","iterative","no",1
"354",0.59375,1,"0","0","iterative","no",1
"355",0.33333,0,"0","0","iterative","no",1
"356",0.16667,0,"0","0","iterative","no",1
"357",0,0,"0","0","iterative","no",1
"358",0.11111,0,"0","0","iterative","no",1
"359",0.34483,0,"0","0","iterative","no",1
"360",0.09524,1,"0","0","iterative","no",1
"361",0.2,0,"0","0","iterative","no",1
"362",0,0,"0","0","iterative","no",1
"363",0,0,"0","0","iterative","no",1
"364",0.33333,0,"0","0","iterative","no",1
"365",0.33333,0,"0","0","iterative","no",1
"366",0.33333,0,"0","0","iterative","no",1
"367",0.2766,0.33333,"0","0","iterative","no",1
"368",0.35897,1,"0","0","iterative","no",1
"369",0.12,0,"0","0","iterative","no",1
"370",0.25,0,"0","0","iterative","no",1
"371",0.30233,0,"0","0","iterative","no",1
"372",0.42553,0,"0","0","iterative","no",1
"373",0,0,"0","0","iterative","no",1
"374",0.66667,1,"0","0","iterative","no",1
"375",0.68966,1,"0","0","iterative","no",1
"376",0.25,0,"0","0","iterative","no",1
"377",0.10526,0,"0","0","iterative","no",1
"378",0.32143,0,"0","0","iterative","no",1
"379",0.64516,1,"0","0","iterative","no",1
"380",0.33333,0.2,"0","0","iterative","no",1
"381",0.26923,0.33333,"0","0","iterative","no",1
"382",0.24,0,"0","0","iterative","no",1
"383",0.75,1,"0","0","iterative","no",1
"384",0.1,0,"0","0","iterative","no",1
"385",0.66667,0,"0","0","iterative","no",1
"386",0,0,"0","0","iterative","no",1
"387",0,0,"0","0","iterative","no",1
"388",0.2,0,"0","0","iterative","no",1
"389",0,0,"0","0","iterative","no",1
"390",0.06452,0,"0","0","iterative","no",1
"391",0,0,"0","0","iterative","no",1
"392",0.5,0.66667,"0","0","iterative","no",1
"393",0,0,"0","0","iterative","no",1
"394",0.86957,1,"0","0","iterative","no",1
"395",0.10526,0,"0","0","iterative","no",1
"396",0,0,"0","0","iterative","no",1
"397",0.25926,0,"0","0","iterative","no",1
"398",0.06061,0,"0","0","iterative","no",1
"399",0.55556,1,"0","0","iterative","no",1
"400",0.11111,0,"0","0","iterative","no",1
"401",0.53125,1,"0","0","iterative","no",1
"402",0.13333,0,"0","0","iterative","no",1
"403",0.15152,0,"0","0","iterative","no",1
"404",0.70833,1,"0","0","iterative","no",1
"405",0.22727,0,"0","0","iterative","no",1
"406",0.2,1,"0","0","iterative","no",1
"407",0.54839,0,"0","0","iterative","no",1
"408",0.06667,0.16667,"0","0","iterative","no",1
"409",0.04545,0.2,"0","0","iterative","no",1
"410",0,0,"0","0","iterative","no",1
"411",0,0.2,"0","0","iterative","no",1
"412",0,0,"0","0","iterative","no",1
"413",0,0,"0","0","iterative","no",1
"414",0.25,0.26667,"0","0","iterative","no",1
"415",0.66667,0.8,"0","0","iterative","no",1
"416",0,0,"0","0","iterative","no",1
"417",0,0,"0","0","iterative","no",1
"418",0.5,1,"0","0","iterative","no",1
"419",0.5,0,"0","0","iterative","no",1
"420",0,0,"0","0","iterative","no",1
"421",0.04,0,"0","0","iterative","no",1
"422",0,0,"0","0","iterative","no",1
"423",0,0,"0","0","iterative","no",1
"424",0,0,"0","0","iterative","no",1
"425",0.26667,1,"0","0","iterative","no",1
"426",0.34783,0,"0","0","iterative","no",1
"427",0.13158,0,"0","0","iterative","no",1
"428",0.46154,1,"0","0","iterative","no",1
"429",0,0.33333,"0","0","iterative","no",1
"430",0.33333,0.66667,"0","0","iterative","no",1
"431",0,0.33333,"0","0","iterative","no",1
"432",0,1,"0","0","iterative","no",1
"433",0.35484,0,"0","0","iterative","no",1
"434",0.4,1,"0","0","iterative","no",1
"435",0,0,"0","0","iterative","no",1
"436",0.58824,1,"0","0","iterative","no",1
"437",0.475,1,"0","0","iterative","no",1
"438",0.64286,1,"0","0","iterative","no",1
"439",0.26316,0,"0","0","iterative","no",1
"440",0.55556,1,"0","0","iterative","no",1
"441",0.16667,0,"0","0","iterative","no",1
"442",0.19231,0.66667,"0","0","iterative","no",1
"443",0.52,1,"0","0","iterative","no",1
"444",0.44444,0,"0","0","iterative","no",1
"445",0.36842,1,"0","0","iterative","no",1
"446",0,0,"0","0","iterative","no",1
"447",0.68966,0.8,"0","0","iterative","no",1
"448",0.09091,0,"0","0","iterative","no",1
"449",0.31034,0,"0","0","iterative","no",1
"450",0,0,"0","0","iterative","no",1
"451",0.22857,0,"0","0","iterative","no",1
"452",0.3913,0.73333,"0","0","iterative","no",1
"453",0,0,"0","0","iterative","no",1
"454",0,0,"0","0","iterative","no",1
"455",0,0,"0","0","iterative","no",1
"456",0,0.33333,"0","0","iterative","no",1
"457",0.8,0.33333,"0","0","iterative","no",1
"458",0.22581,0,"0","0","iterative","no",1
"459",0.6,0,"0","0","iterative","no",1
"460",0.33333,0.11111,"0","0","iterative","no",1
"461",0.30303,0,"0","0","iterative","no",1
"462",0.0625,0,"0","0","iterative","no",1
"463",0.51351,1,"0","0","iterative","no",1
"464",0.53125,1,"0","0","iterative","no",1
"465",0,0,"0","0","iterative","no",1
"466",0,0,"0","0","iterative","no",1
"467",0.82609,0,"0","0","iterative","no",1
"468",0.76923,1,"0","0","iterative","no",1
"469",0.05,0,"0","0","iterative","no",1
"470",0.02857,0.33333,"0","0","iterative","no",1
"471",0.05556,0,"0","0","iterative","no",1
"472",0,0,"0","0","iterative","no",1
"473",0,0.33333,"0","0","iterative","no",1
"474",0.04762,0,"0","0","iterative","no",1
"475",0,0,"0","0","iterative","no",1
"476",0.38235,0,"0","0","iterative","no",1
"477",0.19231,0.66667,"0","0","iterative","no",1
"478",0,0,"0","0","iterative","no",1
"479",0.47619,1,"0","0","iterative","no",1
"480",0.08333,1,"0","0","iterative","no",1
"481",0.30435,0.66667,"0","0","iterative","no",1
"482",0.1875,0,"0","0","iterative","no",1
"483",0.02632,0,"0","0","iterative","no",1
"484",0.20833,0.2,"0","0","iterative","no",1
"485",1,1,"0","0","iterative","no",1
"486",0.5,1,"0","0","iterative","no",1
"487",0,0,"0","0","iterative","no",1
"488",1,1,"0","0","iterative","no",1
"489",0.08696,0.33333,"0","0","iterative","no",1
"490",0.76923,0.33333,"0","0","iterative","no",1
"491",0,0,"0","0","iterative","no",1
"492",0.2619,0.33333,"0","0","iterative","no",1
"493",1,1,"0","0","iterative","no",1
"494",0,0,"0","0","iterative","no",1
"495",1,1,"0","0","iterative","no",1
"496",0,0,"0","0","iterative","no",1
"497",0.22222,0,"0","0","iterative","no",1
"498",0,0,"0","0","iterative","no",1
"499",0.33333,0.2,"0","0","iterative","no",1
"500",0,0,"0","0","iterative","no",1
"501",0.17391,0.33333,"0","0","iterative","no",1
"502",0.37143,0.5,"0","0","iterative","no",1
"503",1,1,"0","0","iterative","no",1
"504",0.76,1,"0","0","iterative","no",1
"505",0.95238,0.33333,"0","0","iterative","no",1
"506",0.4878,0.66667,"0","0","iterative","no",1
"507",0.10256,0.33333,"0","0","iterative","no",1
"508",0.11111,0.33333,"0","0","iterative","no",1
"509",0.43478,0,"0","0","iterative","no",1
"510",0,1,"0","0","iterative","no",1
"511",0.24242,1,"0","0","iterative","no",1
"512",0.41667,0,"0","0","iterative","no",1
"513",0.32258,0.2,"0","0","iterative","no",1
"514",0.36111,0,"0","0","iterative","no",1
"515",0.40541,1,"0","0","iterative","no",1
"516",0.25,0,"0","0","iterative","no",1
"517",1,1,"0","0","iterative","no",1
"518",0.6,0.66667,"0","0","iterative","no",1
"519",0,0.33333,"0","0","iterative","no",1
"520",0.54054,0,"0","0","iterative","no",1
"521",0.34483,0,"0","0","iterative","no",1
"522",0.55556,1,"0","0","iterative","no",1
"523",0.47059,1,"0","0","iterative","no",1
"524",0.44444,0,"0","0","iterative","no",1
"525",0,0.33333,"0","0","iterative","no",1
"526",0,0.66667,"0","0","iterative","no",1
"527",1,1,"0","0","iterative","no",1
"528",0,0.33333,"0","0","iterative","no",1
"529",0.17647,0.33333,"0","0","iterative","no",1
"530",0.41935,1,"0","0","iterative","no",1
"531",0,0.33333,"0","0","iterative","no",1
"532",0.27586,0,"0","0","iterative","no",1
"533",0.34091,0,"0","0","iterative","no",1
"534",0.33333,0,"0","0","iterative","no",1
"535",0.30952,0,"0","0","iterative","no",1
"536",0.31818,0,"0","0","iterative","no",1
"537",0,0,"0","0","iterative","no",1
"538",0,0,"0","0","iterative","no",1
"539",0.33333,0,"0","0","iterative","no",1
"540",0.66667,1,"0","0","iterative","no",1
"541",0.04762,0,"0","0","iterative","no",1
"542",0.07692,0,"0","0","iterative","no",1
"543",0.08571,0,"0","0","iterative","no",1
"544",0.0303,0,"0","0","iterative","no",1
"545",0.64516,1,"0","0","iterative","no",1
"546",0.46512,1,"0","0","iterative","no",1
"547",0.23529,0,"0","0","iterative","no",1
"548",0.38889,0,"0","0","iterative","no",1
"549",0.71429,1,"0","0","iterative","no",1
"550",0.08824,0,"0","0","iterative","no",1
"551",0.2093,0,"0","0","iterative","no",1
"552",0.13158,0,"0","0","iterative","no",1
"553",0.32203,1,"0","0","iterative","no",1
"554",0.42308,1,"0","0","iterative","no",1
"555",0.33333,0.33333,"0","0","iterative","no",1
"556",0.33333,1,"0","0","iterative","no",1
"557",0.4359,0.33333,"0","0","iterative","no",1
"558",0.17857,0,"0","0","iterative","no",1
"559",0.31579,0,"0","0","iterative","no",1
"560",0.52632,0,"0","0","iterative","no",1
"561",0,0,"0","0","iterative","no",1
"562",0,0,"0","0","iterative","no",1
"563",0,0,"0","0","iterative","no",1
"564",0.66667,1,"0","0","iterative","no",1
"565",0,0,"0","0","iterative","no",1
"566",0.2,0,"0","0","iterative","no",1
"567",0.4,0,"0","0","iterative","no",1
"568",0.58065,1,"0","0","iterative","no",1
"569",0.17857,0,"0","0","iterative","no",1
"570",0.44118,0.33333,"0","0","iterative","no",1
"571",0.44737,1,"0","0","iterative","no",1
"572",0.15625,0,"0","0","iterative","no",1
"573",0.66667,1,"0","0","iterative","no",1
"574",0,0,"0","0","iterative","no",1
"575",0.625,1,"0","0","iterative","no",1
"576",0.21739,0,"0","0","iterative","no",1
"577",0,0,"0","0","iterative","no",1
"578",0,0,"0","0","iterative","no",1
"579",0.71429,1,"0","0","iterative","no",1
"580",0.53333,1,"0","0","iterative","no",1
"581",0.28571,0,"0","0","iterative","no",1
"582",0.18605,0,"0","0","iterative","no",1
"583",0.84211,1,"0","0","iterative","no",1
"584",0.17143,0,"0","0","iterative","no",1
"585",0.8,1,"0","0","iterative","no",1
"586",0.11538,0,"0","0","iterative","no",1
"587",0.16667,0,"0","0","iterative","no",1
"588",0,0,"0","0","iterative","no",1
"589",0.37931,0,"0","0","iterative","no",1
"590",0.45455,0,"0","0","iterative","no",1
"591",0,0,"0","0","iterative","no",1
"592",0.38235,0.09259,"0","0","iterative","no",1
"593",0,0,"0","0","iterative","no",1
"594",0.15909,0,"0","0","iterative","no",1
"595",0.31818,0,"0","0","iterative","no",1
"596",0.28571,1,"0","0","iterative","no",1
"597",0.44444,0,"0","0","iterative","no",1
"598",0.48276,0.66667,"0","0","iterative","no",1
"599",0.12903,0,"0","0","iterative","no",1
"600",0.375,0,"0","0","iterative","no",1
"601",0.25806,0,"0","0","iterative","no",1
"602",0.15385,0,"0","0","iterative","no",1
"603",0.37143,0,"0","0","iterative","no",1
"604",0.48387,1,"0","0","iterative","no",1
"605",0.66667,1,"0","0","iterative","no",1
"606",0.66667,1,"0","0","iterative","no",1
"607",0.33333,0,"0","0","iterative","no",1
