"","workerid","utterance","response","feedback","orig_obj1","orig_obj2","orig_obj3","object1shape","object1pattern","object1color","object2shape","object2pattern","object2color","object3shape","object3pattern","object3color","preferenceDimension","Pref1","Pref2","Pref3","uttFeat","targetFeat","obj1OC27","obj2OC27","obj3OC27","targetObject","object2","object3"
"68",4,"red",2,"VeryGood",111,212,222,"cloud","plain","blue","circle","plain","red","circle","striped","red","pattern","dotted","plain","striped",3,2,1,11,14,11,1,14
"69",4,"green",2,"VeryGood",331,113,123,"square","dotted","blue","cloud","plain","green","cloud","striped","green","pattern","dotted","plain","striped",3,2,9,19,22,19,9,22
"70",4,"circle",2,"Good",122,211,231,"cloud","striped","red","circle","plain","blue","circle","dotted","blue","pattern","dotted","plain","striped",1,2,13,2,8,2,13,8
"71",4,"blue",2,"VeryGood",221,231,322,"circle","striped","blue","circle","dotted","blue","square","striped","red","pattern","dotted","plain","striped",3,2,5,8,15,8,5,15
"72",4,"cloud",2,"VeryGood",123,133,331,"cloud","striped","green","cloud","dotted","green","square","dotted","blue","pattern","dotted","plain","striped",1,2,22,25,9,25,22,9
"73",4,"circle",3,"Good",213,331,223,"circle","plain","green","square","dotted","blue","circle","striped","green","pattern","dotted","plain","striped",1,2,20,9,23,23,20,9
"74",4,"circle",2,"VeryGood",331,233,223,"square","dotted","blue","circle","dotted","green","circle","striped","green","pattern","dotted","plain","striped",1,2,9,26,23,26,9,23
"75",4,"green",3,"Good",133,231,123,"cloud","dotted","green","circle","dotted","blue","cloud","striped","green","pattern","dotted","plain","striped",3,2,25,8,22,22,25,8
"76",4,"blue",1,"Good",321,112,331,"square","striped","blue","cloud","plain","red","square","dotted","blue","pattern","dotted","plain","striped",3,2,6,10,9,6,10,9
"77",4,"cloud",1,"Good",123,133,322,"cloud","striped","green","cloud","dotted","green","square","striped","red","pattern","dotted","plain","striped",1,2,22,25,15,22,25,15
"78",4,"red",2,"Good",232,222,333,"circle","dotted","red","circle","striped","red","square","dotted","green","pattern","dotted","plain","striped",3,2,17,14,27,14,17,27
"79",4,"circle",1,"Good",223,233,121,"circle","striped","green","circle","dotted","green","cloud","striped","blue","pattern","dotted","plain","striped",1,2,23,26,4,23,26,4
"80",4,"red",3,"Good",323,112,122,"square","striped","green","cloud","plain","red","cloud","striped","red","pattern","dotted","plain","striped",3,2,24,10,13,13,24,10
"81",5,"plain",1,"Good",213,122,113,"circle","plain","green","cloud","striped","red","cloud","plain","green","shape","cloud","circle","square",1,1,20,13,19,20,13,19
"82",5,"red",3,"VeryGood",222,231,122,"circle","striped","red","circle","dotted","blue","cloud","striped","red","shape","cloud","circle","square",3,1,14,8,13,13,14,8
