"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"243","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","121","121","333","4","4","27"
"244","0.051","0.229","0.118","0.229","0.186","0.186","-1","-1","-1","321","121","112","113","4","10","19"
"245","0.051","0.186","0.186","0.229","0.118","0.229","-1","-1","-1","321","111","121","132","1","4","16"
"246","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","323","323","323","24","24","24"
"247","0.125","0.125","0.147","0.062","0.147","0.125","0.125","0.147","-1","211","223","111","312","23","1","12"
"248","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","131","322","213","7","15","20"
"249","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","112","233","233","10","26","26"
"250","0.074","0.178","0.285","0.178","0.285","-1","-1","-1","-1","322a","113","113","121","19","19","4"
"251","0.157","0.084","0.157","0.084","0.449","0.069","-1","-1","-1","22a2b","213","211","121","20","2","4"
"252","0.33","0.071","0.058","0.071","0.071","0.33","0.071","-1","-1","22b1","333","312","222","27","12","14"
"253","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","133","133","133","25","25","25"
"254","0.719","0.049","0.102","0.049","0.04","0.04","-1","-1","-1","321","223","113","313","23","19","21"
"255","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","132","132","211","16","16","2"
"256","0.719","0.049","0.04","0.04","0.049","0.102","-1","-1","-1","321","213","232","222","20","17","14"
"257","0.157","0.084","0.157","0.084","0.449","0.069","-1","-1","-1","22a2b","123","213","211","22","20","2"
"258","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","113","321","321","19","6","6"
"259","0.085","0.085","0.1","0.361","0.1","0.085","0.085","0.1","-1","211","113","332","231","19","18","8"
"260","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","223","111","332","23","1","18"
"261","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","223","223","223","23","23","23"
"262","0.315","0.132","0.211","0.132","0.211","-1","-1","-1","-1","322a","132","132","123","16","16","22"
